Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
0,2M CALL,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
1,K6JRB,145.450000,-,0.600000,Tone,203.5,88.5,023,NN,FM,5.00,,,,,,
2,K6IS,145.190000,-,0.600000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
3,K6ICW,147.195000,+,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
4,KE6YUV,146.970000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
5,W6AK,146.910000,-,0.600000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
6,KC6MHT,145.230000,-,0.600000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
7,KF6SQL,147.120000,+,0.600000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
8,K6POU,145.330000,-,0.600000,Tone,100.0,88.5,023,NN,NFM,5.00,,,,,,
9,W6CX,147.060000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
10,N6NA,145.250000,-,0.600000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
11,KS6HRP,146.610000,-,0.600000,Tone,136.5,88.5,023,NN,FM,5.00,,,,,,
12,K6INC,146.700000,-,0.600000,Tone,136.5,88.5,023,NN,FM,5.00,,,,,,
13,W6HIR,146.790000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
14,AB6OP,146.985000,-,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
16,K6NP,147.300000,+,0.600000,Tone,131.8,88.5,023,NN,FM,5.00,,,,,,
17,KD6LC,145.190000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
18,WA6YGD,145.350000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
19,AA6GV,146.205000,+,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
20,WA6M,146.670000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
21,K6ACS,146.730000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
22,W6CO,146.780000,-,0.600000,Tone,151.4,88.5,023,NN,FM,5.00,,,,,,
23,K6CSR,146.790000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
24,KE6EAQ,146.835000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
25,WB6TMS,146.910000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
26,KI6B,146.940000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
27,KI6B,146.970000,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
28,W6IBC,146.985000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
29,W6CO,147.180000,+,0.600000,Tone,151.4,88.5,023,NN,FM,5.00,,,,,,
30,WA6RQX,147.270000,+,0.600000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
31,W6SON,147.315000,+,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
32,KI6HHA,147.945000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
33,K6ACS,147.975000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
